id,rarity,hand,name,description,max_stacks
0,0,0,Damage up,+5 flat damage to your %s.,-1
1,0,0,Critical chance,+5% critical hit chance (exceeding critical hit chance converts to % critical damage) to your %s.,-1
2,0,0,Prayer,Remove a random curse and heal for %d.,-1
3,0,2,Luck,+2.5% item rarity chance.,40
4,0,2,Highroll,Re-roll current items present on the floor (does not remove their curses if any).,-1
5,1,1,Damage up (dual),+2.5 flat damage to %s.,-1
6,1,1,Attack speed up (dual),+15% attack speed to %s.,6
7,1,1,Hitter,"Remove all of your attack speed, gain +5 flat damage to %s for each removed stack. ",-1
8,1,1,Gambler,"Remove all of your attack speed, gain 5% critical chance to your %s for each removed stack.",-1
9,1,1,Prayer (dual),Remove a random curse from each hand (2 in total) and heal for %d.,-1
10,2,1,Damage up (dual),+5 flat damage to %s.,-1
11,2,1,Critical damage,+10% critical damage to %s.,-1
12,2,0,Curse advantage,+5 flat damage to your %s for each curse in your other hand.,-1
13,2,0,Curse advantage,+5 flat damage to your %s for each curse in this hand.,-1
14,2,0,Survivor,+1 flat damage to your %s for each 5 health points missing.,-1
15,3,1,Critical chance,+5% critical hit chance (exceeding critical hit chance converts to % critical damage) to %s.,-1
16,3,0,Pistol,"Equip a pistol in your %s, shoots a slower piercing projectile dealing damage every tick it is in contact with the target.",1
17,3,0,Extra shot,Shoots an additional projectile with your %.,10
18,3,0,Curse advantage,+5 flat damage to your %s for each of your curses from both hands.,-1
19,4,0,Change of mind,Replace all items in your %s by those from your other hand.,-1
20,4,0,Homing,Projectiles from your %s are homing.,1
21,4,1,Sync,Fire %s at the same time.,1
22,4,0,Mimic,Your %s becomes a perfect clone of your other hand (copies all its items and curses).,-1
23,5,1,Relaxed,-8% attack speed to %s.,-1
24,5,0,Clumsy,-20% critical damage to your %s.,-1
25,5,2,Scared,-5% maximum health.,19
26,5,0,Inaccurate,Miss 12.5% more shots with your %s.,8
27,5,0,Heavy,-12.5% projectile speed with your %s.,8
28,5,2,Trap,"Take a hit for %d points of your current health.",-1
29,5,2,Lowroll,Re-roll current items present on the floor (does not remove their curses if any).,-1
30,5,2,Sabotage,Add 5 extra random curses spread among current items present on the floor.,-1
31,5,0,Soft,-10 flat damage to your %s.,-1
32,5,0,Fake,The next item you pick for your %s will be a random different item.,-1
33,5,0,Love,"When your %s hits the target, the target is moved instantly by an additional step in your direction (inverse knockback).",-1
